2017-04-02 19:35:32,620 p=3275 u=root |  Using /root/tst1/step10/ansible.cfg as config file
2017-04-02 19:35:33,350 p=3275 u=root |  1 plays in example3.yml
2017-04-02 19:35:33,557 p=3275 u=root |  PLAY [zabbix installation  playbook] *******************************************
2017-04-02 19:35:34,056 p=3275 u=root |  TASK [zabbix : install sysstat rpm] ********************************************
2017-04-02 19:35:34,057 p=3275 u=root |  task path: /root/tst1/step10/roles/zabbix/tasks/main.yml:2
2017-04-02 19:35:40,536 p=3275 u=root |  ok: [ragnar02] => {"changed": false, "invocation": {"module_args": {"conf_file": null, "disable_gpg_check": false, "disablerepo": null, "enablerepo": null, "exclude": null, "install_repoquery": true, "list": null, "name": ["sysstat"], "state": "present", "update_cache": false}, "module_name": "yum"}, "msg": "", "rc": 0, "results": ["sysstat-10.1.5-11.el7.x86_64 providing sysstat is already installed"]}
2017-04-02 19:35:40,544 p=3275 u=root |  TASK [zabbix : start dependent service] ****************************************
2017-04-02 19:35:40,545 p=3275 u=root |  task path: /root/tst1/step10/roles/zabbix/tasks/main.yml:8
2017-04-02 19:35:43,760 p=3275 u=root |  ok: [ragnar02] => {"changed": false, "enabled": true, "invocation": {"module_args": {"arguments": "", "enabled": true, "name": "sysstat", "pattern": null, "runlevel": "default", "sleep": null, "state": "started"}, "module_name": "service"}, "name": "sysstat", "state": "started"}
2017-04-02 19:35:43,769 p=3275 u=root |  TASK [zabbix : users | managing user accounts] *********************************
2017-04-02 19:35:43,770 p=3275 u=root |  task path: /root/tst1/step10/roles/zabbix/tasks/main.yml:14
2017-04-02 19:35:46,153 p=3275 u=root |  changed: [ragnar02] => (item={u'comment': u'zabbix service account', u'state': u'present', u'sudo': True, u'user': u'zabbix', u'pass': u'z@bb1xhijkill'}) => {"append": false, "changed": true, "comment": "zabbix service account", "group": 1002, "home": "/home/zabbix", "invocation": {"module_args": {"append": false, "comment": "zabbix service account", "createhome": true, "expires": null, "force": false, "generate_ssh_key": null, "group": null, "groups": null, "home": null, "login_class": null, "move_home": false, "name": "zabbix", "non_unique": false, "password": "VALUE_SPECIFIED_IN_NO_LOG_PARAMETER", "remove": false, "shell": null, "skeleton": null, "ssh_key_bits": "2048", "ssh_key_comment": "ansible-generated on centos.box", "ssh_key_file": null, "ssh_key_passphrase": null, "ssh_key_type": "rsa", "state": "present", "system": false, "uid": null, "update_password": "always"}, "module_name": "user"}, "item": {"comment": "zabbix service account", "pass": "z@bb1xhijkill", "state": "present", "sudo": true, "user": "zabbix"}, "move_home": false, "name": "zabbix", "password": "NOT_LOGGING_PASSWORD", "shell": "/bin/bash", "state": "present", "uid": 1002}
2017-04-02 19:35:46,164 p=3275 u=root |  TASK [zabbix : users | adding users to sudoers] ********************************
2017-04-02 19:35:46,165 p=3275 u=root |  task path: /root/tst1/step10/roles/zabbix/tasks/main.yml:26
2017-04-02 19:35:48,798 p=3275 u=root |  ok: [ragnar02] => (item={u'comment': u'zabbix service account', u'state': u'present', u'sudo': True, u'user': u'zabbix', u'pass': u'z@bb1xhijkill'}) => {"backup": "", "changed": false, "invocation": {"module_args": {"backrefs": false, "backup": false, "content": null, "create": false, "delimiter": null, "dest": "/etc/sudoers", "directory_mode": null, "follow": false, "force": null, "group": null, "insertafter": "^root", "insertbefore": null, "line": "zabbix  ALL= NOPASSWD : /usr/bin/tailf, /bin/cat, /bin/grep,/bin/awk, /bin/sed, /usr/local/sbin/zabbix_sender, /usr/bin/tr,  /usr/sbin/dmidecode, /usr/bin/lsattr, /bin/ls", "mode": null, "owner": null, "regexp": null, "remote_src": null, "selevel": null, "serole": null, "setype": null, "seuser": null, "src": null, "state": "present", "validate": "visudo -cf %s"}, "module_name": "lineinfile"}, "item": {"comment": "zabbix service account", "pass": "z@bb1xhijkill", "state": "present", "sudo": true, "user": "zabbix"}, "msg": ""}
2017-04-02 19:35:48,821 p=3275 u=root |  TASK [zabbix : command to extend password aging of zabbix user] ****************
2017-04-02 19:35:48,822 p=3275 u=root |  task path: /root/tst1/step10/roles/zabbix/tasks/main.yml:38
2017-04-02 19:35:49,791 p=3275 u=root |  ok: [ragnar02] => {"changed": false, "invocation": {"module_args": {"_raw_params": "chage -I -1 -m 0 -M 99999 -E -1 zabbix"}, "module_name": "raw"}, "rc": 0, "stderr": "", "stdout": "", "stdout_lines": []}
2017-04-02 19:35:49,828 p=3275 u=root |  TASK [zabbix : copy scripts to /etc/zabbix folder] *****************************
